year,NTACode,NTAName,Pop_1E,Education Budget,Police Budget,SocServices Budget,Crime Cost Per Capita Actual,Predicted Crime Cost Per Capita,Total Cost,Cost Change over Year,prior_year_cost,tot_budget
2019,MN40,Upper East Side-Carnegie Hill,58593,1571,996,1354,644,1006,4565,236,680,3921
2015,MN50,Stuyvesant Town-Cooper Village,21462,1143,1054,125,45,163,2367,NA,63,2322
2016,MN50,Stuyvesant Town-Cooper Village,21462,1232,1154,133,53,150,2572,205,45,2519
2017,MN50,Stuyvesant Town-Cooper Village,21462,1273,888,140,61,157,2362,-210,53,2301
2018,MN50,Stuyvesant Town-Cooper Village,21462,1129,1077,144,80,165,2430,68,61,2350
2019,MN50,Stuyvesant Town-Cooper Village,21462,1190,1144,160,59,182,2553,123,80,2494
2015,QN01,South Jamaica,41606,2405,494,302,1147,1463,4348,NA,1418,3201
2016,QN01,South Jamaica,41606,2650,444,315,945,1249,4354,6,1147,3409
2017,QN01,South Jamaica,41606,2773,990,318,1099,1089,5180,826,945,4081
2018,QN01,South Jamaica,41606,2459,577,335,1154,1214,4525,-655,1099,3371
2019,QN01,South Jamaica,41606,2594,659,349,1264,1260,4866,341,1154,3602
2015,QN02,Springfield Gardens North,27577,1983,168,191,12328,14087,14670,NA,17191,2342
2016,QN02,Springfield Gardens North,27577,2180,151,200,10703,10220,13234,-1436,12328,2531
2017,QN02,Springfield Gardens North,27577,2277,337,202,11800,8929,14616,1382,10703,2816
2018,QN02,Springfield Gardens North,27577,2020,197,212,9567,9802,11996,-2620,11800,2429
2019,QN02,Springfield Gardens North,27577,2130,225,221,11072,8028,13648,1652,9567,2576
2015,QN03,Springfield Gardens South-Brookville,21900,2523,457,287,580,1232,3847,NA,1152,3267
2016,QN03,Springfield Gardens South-Brookville,21900,2740,411,299,1256,779,4706,859,580,3450
2017,QN03,Springfield Gardens South-Brookville,21900,2843,915,302,510,1317,4570,-136,1256,4060
2018,QN03,Springfield Gardens South-Brookville,21900,2521,534,318,911,726,4284,-286,510,3373
2019,QN03,Springfield Gardens South-Brookville,21900,2658,609,331,964,1047,4562,278,911,3598
2015,QN05,Rosedale,27462,2855,527,165,820,737,4367,NA,450,3547
2016,QN05,Rosedale,27462,3098,474,172,362,1032,4106,-261,820,3744
2017,QN05,Rosedale,27462,3213,1057,174,405,668,4849,743,362,4444
2018,QN05,Rosedale,27462,2850,616,183,378,704,4027,-822,405,3649
2019,QN05,Rosedale,27462,3005,703,190,1026,684,4924,897,378,3898
2015,QN06,Jamaica Estates-Holliswood,26757,2077,427,291,297,455,3092,NA,304,2795
2016,QN06,Jamaica Estates-Holliswood,26757,2256,384,304,540,452,3484,392,297,2944
2017,QN06,Jamaica Estates-Holliswood,26757,2339,856,307,274,646,3776,292,540,3502
2018,QN06,Jamaica Estates-Holliswood,26757,2074,499,323,201,436,3097,-679,274,2896
2019,QN06,Jamaica Estates-Holliswood,26757,2187,569,336,318,381,3410,313,201,3092
2015,QN07,Hollis,21214,1382,633,260,460,605,2735,NA,458,2275
2016,QN07,Hollis,21214,1499,569,272,541,608,2881,146,460,2340
2017,QN07,Hollis,21214,1555,1269,275,919,673,4018,1137,541,3099
2018,QN07,Hollis,21214,1379,740,289,476,976,2884,-1134,919,2408
2019,QN07,Hollis,21214,1454,844,301,689,626,3288,404,476,2599
2015,QN08,St. Albans,54626,2121,276,257,619,1308,3273,NA,1245,2654
2016,QN08,St. Albans,54626,2311,248,269,876,812,3704,431,619,2828
2017,QN08,St. Albans,54626,2404,554,272,925,1017,4155,451,876,3230
2018,QN08,St. Albans,54626,2132,323,286,563,1058,3304,-851,925,2741
2019,QN08,St. Albans,54626,2248,368,298,951,772,3865,561,563,2914
2015,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243,3937,664,409,456,560,5466,NA,517,5010
2016,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243,4313,597,427,553,514,5890,424,456,5337
2017,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243,4483,1330,431,419,592,6663,773,553,6244
2018,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243,3975,775,454,411,489,5615,-1048,419,5204
2019,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243,4192,885,473,514,486,6064,449,411,5550
2015,QN12,Hammels-Arverne-Edgemere,39003,1762,659,380,4562,3093,7363,NA,3125,2801
2016,QN12,Hammels-Arverne-Edgemere,39003,1930,592,396,8869,4238,11787,4424,4562,2918
2017,QN12,Hammels-Arverne-Edgemere,39003,2006,1320,401,2641,7664,6368,-5419,8869,3727
2018,QN12,Hammels-Arverne-Edgemere,39003,1779,770,422,4268,2714,7239,871,2641,2971
2019,QN12,Hammels-Arverne-Edgemere,39003,1876,879,439,3254,4011,6448,-791,4268,3194
2015,QN15,Far Rockaway-Bayswater,54264,1108,649,421,5064,3049,7242,NA,3237,2178
2016,QN15,Far Rockaway-Bayswater,54264,1214,583,439,5696,4505,7932,690,5064,2236
2017,QN15,Far Rockaway-Bayswater,54264,1262,1300,444,4896,5009,7902,-30,5696,3006
2018,QN15,Far Rockaway-Bayswater,54264,1119,758,468,7543,4376,9888,1986,4896,2345
2019,QN15,Far Rockaway-Bayswater,54264,1180,865,487,4759,6484,7291,-2597,7543,2532
2015,QN17,Forest Hills,86531,2000,289,319,1007,1049,3615,NA,950,2608
2016,QN17,Forest Hills,86531,2210,260,333,1066,1097,3869,254,1007,2803
2017,QN17,Forest Hills,86531,2316,579,337,935,1145,4167,298,1066,3232
2018,QN17,Forest Hills,86531,2054,338,354,1238,1044,3984,-183,935,2746
2019,QN17,Forest Hills,86531,2166,385,369,1575,1286,4495,511,1238,2920
2015,QN18,Rego Park,28106,2120,307,205,227,618,2859,NA,337,2632
2016,QN18,Rego Park,28106,2343,276,214,210,532,3043,184,227,2833
2017,QN18,Rego Park,28106,2456,616,217,211,519,3500,457,210,3289
2018,QN18,Rego Park,28106,2178,359,228,198,522,2963,-537,211,2765
2019,QN18,Rego Park,28106,2297,410,237,162,513,3106,143,198,2944
2015,QN19,Glendale,34029,2441,213,162,304,461,3120,NA,326,2816
2016,QN19,Glendale,34029,2732,192,169,262,445,3355,235,304,3093
2017,QN19,Glendale,34029,2891,427,171,390,412,3879,524,262,3489
2018,QN19,Glendale,34029,2564,249,180,237,515,3230,-649,390,2993
2019,QN19,Glendale,34029,2704,284,188,219,395,3395,165,237,3176
2015,QN20,Ridgewood,72964,1907,160,210,1068,1814,3345,NA,1870,2277
2016,QN20,Ridgewood,72964,2136,144,219,1575,1178,4074,729,1068,2499
2017,QN20,Ridgewood,72964,2262,320,221,1862,1582,4665,591,1575,2803
2018,QN20,Ridgewood,72964,2006,187,233,1239,1812,3665,-1000,1862,2426
2019,QN20,Ridgewood,72964,2115,213,243,957,1318,3528,-137,1239,2571
2015,QN21,Middle Village,38033,4180,350,119,176,214,4825,NA,195,4649
2016,QN21,Middle Village,38033,4682,315,124,188,200,5309,484,176,5121
2017,QN21,Middle Village,38033,4958,702,125,182,210,5967,658,188,5785
2018,QN21,Middle Village,38033,4397,409,132,135,206,5073,-894,182,4938
2019,QN21,Middle Village,38033,4636,467,137,183,170,5423,350,135,5240
2015,QN22,Flushing,70697,838,130,351,1896,2272,3215,NA,2286,1319
2016,QN22,Flushing,70697,923,117,367,1563,1964,2970,-245,1896,1407
2017,QN22,Flushing,70697,979,260,371,2720,1700,4330,1360,1563,1610
2018,QN22,Flushing,70697,868,151,390,1933,2623,3342,-988,2720,1409
2019,QN22,Flushing,70697,916,173,406,1521,1999,3016,-326,1933,1495
2015,QN23,College Point,25875,3103,473,378,276,546,4230,NA,338,3954
2016,QN23,College Point,25875,3417,425,395,936,500,5173,943,276,4237
2017,QN23,College Point,25875,3625,947,399,369,1025,5340,167,936,4971
2018,QN23,College Point,25875,3215,552,420,604,577,4791,-549,369,4187
2019,QN23,College Point,25875,3390,630,437,983,767,5440,649,604,4457
2015,QN25,Corona,58626,947,173,90,412,756,1622,NA,375,1210
2016,QN25,Corona,58626,1060,155,94,317,786,1626,4,412,1309
2017,QN25,Corona,58626,1122,346,95,460,711,2023,397,317,1563
2018,QN25,Corona,58626,995,202,100,581,825,1878,-145,460,1297
2019,QN25,Corona,58626,1049,230,104,372,922,1755,-123,581,1383
2015,QN26,North Corona,54677,892,177,161,1096,1221,2326,NA,1252,1230
2016,QN26,North Corona,54677,995,159,168,933,1098,2255,-71,1096,1322
2017,QN26,North Corona,54677,1050,355,170,714,969,2289,34,933,1575
2018,QN26,North Corona,54677,931,207,178,714,796,2030,-259,714,1316
2019,QN26,North Corona,54677,982,236,186,938,797,2342,312,714,1404
2015,QN27,East Elmhurst,21760,2270,500,277,1164,996,4211,NA,961,3047
2016,QN27,East Elmhurst,21760,2479,449,289,779,1160,3996,-215,1164,3217
2017,QN27,East Elmhurst,21760,2578,1002,292,840,854,4712,716,779,3872
2018,QN27,East Elmhurst,21760,2287,584,308,761,905,3940,-772,840,3179
2019,QN27,East Elmhurst,21760,2411,667,320,792,844,4190,250,761,3398
2015,QN28,Jackson Heights,104125,1144,253,190,2490,2299,4077,NA,2684,1587
2016,QN28,Jackson Heights,104125,1248,228,199,2850,2147,4525,448,2490,1675
2017,QN28,Jackson Heights,104125,1296,507,201,3069,2433,5073,548,2850,2004
2018,QN28,Jackson Heights,104125,1149,296,212,2055,2610,3712,-1361,3069,1657
2019,QN28,Jackson Heights,104125,1212,338,220,2043,1804,3813,101,2055,1770
2015,QN29,Elmhurst,83663,1077,193,225,1419,1980,2914,NA,2037,1495
2016,QN29,Elmhurst,83663,1207,174,235,1915,1490,3531,617,1419,1616
2017,QN29,Elmhurst,83663,1278,388,237,1743,1885,3646,115,1915,1903
2018,QN29,Elmhurst,83663,1133,226,250,1628,1750,3237,-409,1743,1609
2019,QN29,Elmhurst,83663,1195,258,260,1592,1660,3305,68,1628,1713
2015,QN30,Maspeth,29111,3374,283,285,950,437,4892,NA,410,3942
2016,QN30,Maspeth,29111,3779,254,297,537,868,4867,-25,950,4330
2017,QN30,Maspeth,29111,4001,567,300,304,540,5172,305,537,4868
2018,QN30,Maspeth,29111,3549,330,316,306,357,4501,-671,304,4195
2019,QN30,Maspeth,29111,3742,377,329,276,361,4724,223,306,4448
2015,QN31,Hunters Point-Sunnyside-West Maspeth,66926,3989,436,638,1640,1786,6703,NA,1898,5063
2016,QN31,Hunters Point-Sunnyside-West Maspeth,66926,4405,392,666,1031,1585,6494,-209,1640,5463
2017,QN31,Hunters Point-Sunnyside-West Maspeth,66926,4618,873,673,1309,1102,7473,979,1031,6164
2018,QN31,Hunters Point-Sunnyside-West Maspeth,66926,4095,509,708,1401,1328,6713,-760,1309,5312
2019,QN31,Hunters Point-Sunnyside-West Maspeth,66926,4318,581,737,1594,1407,7230,517,1401,5636
2015,QN33,Cambria Heights,19546,2168,403,141,363,902,3075,NA,935,2712
2016,QN33,Cambria Heights,19546,2351,363,147,490,448,3351,276,363,2861
2017,QN33,Cambria Heights,19546,2438,808,149,795,549,4190,839,490,3395
2018,QN33,Cambria Heights,19546,2163,471,157,399,793,3190,-1000,795,2791
2019,QN33,Cambria Heights,19546,2280,538,163,311,479,3292,102,399,2981
2015,QN34,Queens Village,54732,1629,300,206,4405,2014,6540,NA,2485,2135
2016,QN34,Queens Village,54732,1766,270,215,2543,3542,4794,-1746,4405,2251
2017,QN34,Queens Village,54732,1832,601,218,3417,2062,6068,1274,2543,2651
2018,QN34,Queens Village,54732,1625,351,229,4265,2759,6470,402,3417,2205
2019,QN34,Queens Village,54732,1713,400,239,2474,3435,4826,-1644,4265,2352
2015,QN35,Briarwood-Jamaica Hills,42224,1953,195,357,720,709,3225,NA,520,2505
2016,QN35,Briarwood-Jamaica Hills,42224,2156,176,372,448,870,3152,-73,720,2704
2017,QN35,Briarwood-Jamaica Hills,42224,2258,392,376,361,655,3387,235,448,3026
2018,QN35,Briarwood-Jamaica Hills,42224,2003,228,396,433,589,3060,-327,361,2627
2019,QN35,Briarwood-Jamaica Hills,42224,2112,261,412,631,648,3416,356,433,2785
2015,QN37,Kew Gardens Hills,38404,1674,250,183,256,462,2363,NA,271,2107
2016,QN37,Kew Gardens Hills,38404,1844,225,191,272,451,2532,169,256,2260
2017,QN37,Kew Gardens Hills,38404,1953,501,193,243,464,2890,358,272,2647
2018,QN37,Kew Gardens Hills,38404,1732,292,203,190,443,2417,-473,243,2227
2019,QN37,Kew Gardens Hills,38404,1827,334,212,183,402,2556,139,190,2373
2015,QN38,Pomonok-Flushing Heights-Hillcrest,36416,1593,270,262,2167,1434,4292,NA,1519,2125
2016,QN38,Pomonok-Flushing Heights-Hillcrest,36416,1745,243,273,3179,1950,5440,1148,2167,2261
2017,QN38,Pomonok-Flushing Heights-Hillcrest,36416,1831,542,276,3339,2756,5988,548,3179,2649
2018,QN38,Pomonok-Flushing Heights-Hillcrest,36416,1623,316,291,2609,2886,4839,-1149,3339,2230
2019,QN38,Pomonok-Flushing Heights-Hillcrest,36416,1712,361,303,3382,2307,5758,919,2609,2376
2015,QN41,Fresh Meadows-Utopia,18700,1980,377,148,177,397,2682,NA,158,2505
2016,QN41,Fresh Meadows-Utopia,18700,2157,339,154,66,413,2716,34,177,2650
2017,QN41,Fresh Meadows-Utopia,18700,2236,755,156,639,324,3786,1070,66,3147
2018,QN41,Fresh Meadows-Utopia,18700,1983,440,164,124,782,2711,-1075,639,2587
2019,QN41,Fresh Meadows-Utopia,18700,2091,502,171,606,373,3370,659,124,2764
2015,QN42,Oakland Gardens,28669,2372,280,149,85,714,2886,NA,718,2801
2016,QN42,Oakland Gardens,28669,2584,252,155,134,211,3125,239,85,2991
2017,QN42,Oakland Gardens,28669,2678,561,157,125,250,3521,396,134,3396
2018,QN42,Oakland Gardens,28669,2375,327,165,133,244,3000,-521,125,2867
2019,QN42,Oakland Gardens,28669,2505,373,172,124,252,3174,174,133,3050
2015,QN43,Bellerose,26916,2721,489,401,265,256,3876,NA,299,3611
2016,QN43,Bellerose,26916,2963,440,419,165,232,3987,111,265,3822
2017,QN43,Bellerose,26916,3071,980,423,566,153,5040,1053,165,4474
2018,QN43,Bellerose,26916,2724,571,445,282,475,4022,-1018,566,3740
2019,QN43,Bellerose,26916,2872,652,464,299,252,4287,265,282,3988
2015,QN44,Glen Oaks-Floral Park-New Hyde Park,23344,2608,467,226,168,347,3469,NA,445,3301
2016,QN44,Glen Oaks-Floral Park-New Hyde Park,23344,2842,420,236,193,128,3691,222,168,3498
2017,QN44,Glen Oaks-Floral Park-New Hyde Park,23344,2945,935,238,209,148,4327,636,193,4118
2018,QN44,Glen Oaks-Floral Park-New Hyde Park,23344,2612,545,251,137,163,3545,-782,209,3408
2019,QN44,Glen Oaks-Floral Park-New Hyde Park,23344,2754,622,261,178,108,3815,270,137,3637
2015,QN45,Douglas Manor-Douglaston-Little Neck,25738,3544,418,371,124,156,4457,NA,175,4333
2016,QN45,Douglas Manor-Douglaston-Little Neck,25738,3861,376,387,109,118,4733,276,124,4624
2017,QN45,Douglas Manor-Douglaston-Little Neck,25738,4001,838,391,106,106,5336,603,109,5230
2018,QN45,Douglas Manor-Douglaston-Little Neck,25738,3549,489,412,110,108,4560,-776,106,4450
2019,QN45,Douglas Manor-Douglaston-Little Neck,25738,3742,558,428,195,114,4923,363,110,4728
2015,QN46,Bayside-Bayside Hills,44864,2406,284,173,846,665,3709,NA,644,2863
2016,QN46,Bayside-Bayside Hills,44864,2622,255,181,667,827,3725,16,846,3058
2017,QN46,Bayside-Bayside Hills,44864,2718,569,183,388,685,3858,133,667,3470
2018,QN46,Bayside-Bayside Hills,44864,2411,332,193,385,465,3321,-537,388,2936
2019,QN46,Bayside-Bayside Hills,44864,2542,379,201,1352,464,4474,1153,385,3122
2015,QN47,Ft. Totten-Bay Terrace-Clearview,21945,3309,502,229,103,225,4143,NA,98,4040
2016,QN47,Ft. Totten-Bay Terrace-Clearview,21945,3641,451,239,483,231,4814,671,103,4331
2017,QN47,Ft. Totten-Bay Terrace-Clearview,21945,3857,1006,241,84,534,5188,374,483,5104
2018,QN47,Ft. Totten-Bay Terrace-Clearview,21945,3421,586,254,65,218,4326,-862,84,4261
2019,QN47,Ft. Totten-Bay Terrace-Clearview,21945,3607,669,264,101,205,4641,315,65,4540
2015,QN48,Auburndale,20609,2341,268,231,209,311,3049,NA,195,2840
2016,QN48,Auburndale,20609,2561,241,242,159,324,3203,154,209,3044
2017,QN48,Auburndale,20609,2676,536,244,118,284,3574,371,159,3456
2018,QN48,Auburndale,20609,2373,313,257,90,254,3033,-541,118,2943
2019,QN48,Auburndale,20609,2502,357,268,171,233,3298,265,90,3127
2015,QN49,Whitestone,31090,3527,537,145,141,235,4350,NA,237,4209
2016,QN49,Whitestone,31090,3884,483,152,172,160,4691,341,141,4519
2017,QN49,Whitestone,31090,4121,1076,153,201,184,5551,860,172,5350
2018,QN49,Whitestone,31090,3654,627,161,153,209,4595,-956,201,4442
2019,QN49,Whitestone,31090,3854,716,168,194,172,4932,337,153,4738
2015,QN50,Elmhurst-Maspeth,26460,2281,316,294,306,499,3197,NA,407,2891
2016,QN50,Elmhurst-Maspeth,26460,2553,284,307,317,421,3461,264,306,3144
2017,QN50,Elmhurst-Maspeth,26460,2703,634,310,303,430,3950,489,317,3647
2018,QN50,Elmhurst-Maspeth,26460,2397,369,327,294,421,3387,-563,303,3093
2019,QN50,Elmhurst-Maspeth,26460,2527,422,340,319,417,3608,221,294,3289
2015,QN51,Murray Hill,52659,1579,240,143,244,476,2206,NA,323,1962
2016,QN51,Murray Hill,52659,1738,215,149,323,414,2425,219,244,2102
2017,QN51,Murray Hill,52659,1844,480,151,281,477,2756,331,323,2475
2018,QN51,Murray Hill,52659,1635,280,159,435,445,2509,-247,281,2074
2019,QN51,Murray Hill,52659,1724,319,165,244,568,2452,-57,435,2208
2015,QN52,East Flushing,26436,1786,269,218,255,1006,2528,NA,1056,2273
2016,QN52,East Flushing,26436,1967,242,228,327,371,2764,236,255,2437
2017,QN52,East Flushing,26436,2086,539,230,613,429,3468,704,327,2855
2018,QN52,East Flushing,26436,1850,314,243,241,657,2648,-820,613,2407
2019,QN52,East Flushing,26436,1951,359,252,272,364,2834,186,241,2562
2015,QN53,Woodhaven,62821,678,247,116,511,615,1552,NA,481,1041
2016,QN53,Woodhaven,62821,744,222,121,443,640,1530,-22,511,1087
2017,QN53,Woodhaven,62821,774,495,122,452,585,1843,313,443,1391
2018,QN53,Woodhaven,62821,687,288,129,301,594,1405,-438,452,1104
2019,QN53,Woodhaven,62821,724,329,134,411,474,1598,193,301,1187
2015,QN54,Richmond Hill,68275,1326,312,250,4833,3571,6721,NA,4230,1888
2016,QN54,Richmond Hill,68275,1460,280,261,6256,4052,8257,1536,4833,2001
2017,QN54,Richmond Hill,68275,1525,625,264,5232,5184,7646,-611,6256,2414
2018,QN54,Richmond Hill,68275,1352,364,278,6756,4372,8750,1104,5232,1994
2019,QN54,Richmond Hill,68275,1426,416,289,2375,5586,4506,-4244,6756,2131
2015,QN55,South Ozone Park,85411,1306,335,132,616,673,2389,NA,755,1773
2016,QN55,South Ozone Park,85411,1435,301,138,731,564,2605,216,616,1874
2017,QN55,South Ozone Park,85411,1494,671,140,616,656,2921,316,731,2305
2018,QN55,South Ozone Park,85411,1325,391,147,694,565,2557,-364,616,1863
2019,QN55,South Ozone Park,85411,1398,447,153,525,628,2523,-34,694,1998
2015,QN56,Ozone Park,23415,1187,373,225,455,547,2240,NA,557,1785
2016,QN56,Ozone Park,23415,1301,336,235,507,468,2379,139,455,1872
2017,QN56,Ozone Park,23415,1352,748,238,404,509,2742,363,507,2338
2018,QN56,Ozone Park,23415,1199,436,250,455,430,2340,-402,404,1885
2019,QN56,Ozone Park,23415,1264,498,260,821,472,2843,503,455,2022
2015,QN57,Lindenwood-Howard Beach,28247,2539,794,178,271,299,3782,NA,264,3511
2016,QN57,Lindenwood-Howard Beach,28247,2782,715,186,160,305,3843,61,271,3683
2017,QN57,Lindenwood-Howard Beach,28247,2891,1588,188,239,218,4906,1063,160,4667
2018,QN57,Lindenwood-Howard Beach,28247,2564,928,197,185,282,3874,-1032,239,3689
2019,QN57,Lindenwood-Howard Beach,28247,2704,1058,205,255,240,4222,348,185,3967
2015,QN60,Kew Gardens,23719,2305,361,265,5382,3266,8313,NA,3792,2931
2016,QN60,Kew Gardens,23719,2545,325,276,799,4532,3945,-4368,5382,3146
2017,QN60,Kew Gardens,23719,2666,724,279,724,888,4393,448,799,3669
2018,QN60,Kew Gardens,23719,2364,422,294,743,831,3823,-570,724,3080
2019,QN60,Kew Gardens,23719,2493,482,306,1837,848,5118,1295,743,3281
2015,QN61,Jamaica,55597,1920,564,921,5635,5069,9040,NA,5815,3405
2016,QN61,Jamaica,55597,2112,507,962,6909,4932,10490,1450,5635,3581
2017,QN61,Jamaica,55597,2208,1129,972,4515,5946,8824,-1666,6909,4309
2018,QN61,Jamaica,55597,1958,658,1023,6282,4051,9921,1097,4515,3639
2019,QN61,Jamaica,55597,2065,751,1065,4504,5463,8385,-1536,6282,3881
2015,QN62,Queensboro Hill,21460,1963,300,140,270,412,2673,NA,372,2403
2016,QN62,Queensboro Hill,21460,2162,269,147,645,332,3223,550,270,2578
2017,QN62,Queensboro Hill,21460,2294,600,148,321,631,3363,140,645,3042
2018,QN62,Queensboro Hill,21460,2034,350,156,2382,375,4922,1559,321,2540
2019,QN62,Queensboro Hill,21460,2145,400,162,1217,2015,3924,-998,2382,2707
2015,QN63,Woodside,45702,1554,192,313,725,841,2784,NA,810,2059
2016,QN63,Woodside,45702,1699,173,327,521,775,2720,-64,725,2199
2017,QN63,Woodside,45702,1769,386,330,703,613,3188,468,521,2485
2018,QN63,Woodside,45702,1568,225,348,670,762,2811,-377,703,2141
2019,QN63,Woodside,45702,1654,257,362,374,737,2647,-164,670,2273
2015,QN66,Laurelton,26924,1892,349,140,529,1323,2910,NA,1468,2381
2016,QN66,Laurelton,26924,2052,314,146,591,577,3103,193,529,2512
2017,QN66,Laurelton,26924,2129,699,148,416,627,3392,289,591,2976
2018,QN66,Laurelton,26924,1888,407,155,407,489,2857,-535,416,2450
2019,QN66,Laurelton,26924,1991,465,162,310,483,2928,71,407,2618
2015,QN68,Queensbridge-Ravenswood-Long Island City,18927,3043,475,875,1942,1975,6335,NA,1683,4393
2016,QN68,Queensbridge-Ravenswood-Long Island City,18927,3311,427,914,1169,2187,5821,-514,1942,4652
2017,QN68,Queensbridge-Ravenswood-Long Island City,18927,3434,951,924,1204,1573,6513,692,1169,5309
2018,QN68,Queensbridge-Ravenswood-Long Island City,18927,3045,554,972,1236,1609,5807,-706,1204,4571
2019,QN68,Queensbridge-Ravenswood-Long Island City,18927,3211,633,1012,958,1641,5814,7,1236,4856
2015,QN70,Astoria,77252,1258,197,224,574,735,2253,NA,626,1679
2016,QN70,Astoria,77252,1369,177,234,635,696,2415,162,574,1780
2017,QN70,Astoria,77252,1419,395,237,593,744,2644,229,635,2051
2018,QN70,Astoria,77252,1259,230,249,625,713,2363,-281,593,1738
2019,QN70,Astoria,77252,1327,263,259,444,740,2293,-70,625,1849
2015,QN71,Old Astoria,28110,1373,215,420,467,1242,2475,NA,1152,2008
2016,QN71,Old Astoria,28110,1494,194,438,585,700,2711,236,467,2126
2017,QN71,Old Astoria,28110,1549,431,443,456,795,2879,168,585,2423
2018,QN71,Old Astoria,28110,1374,251,466,385,696,2476,-403,456,2091
2019,QN71,Old Astoria,28110,1449,287,485,406,643,2627,151,385,2221
2015,QN72,Steinway,48179,2960,465,250,3826,3326,7501,NA,3859,3675
2016,QN72,Steinway,48179,3221,418,261,2919,3301,6819,-682,3826,3900
2017,QN72,Steinway,48179,3340,931,264,2193,2581,6728,-91,2919,4535
2018,QN72,Steinway,48179,2962,543,278,4101,2005,7884,1156,2193,3783
2019,QN72,Steinway,48179,3124,620,289,3333,3524,7366,-518,4101,4033
2015,QN76,Baisley Park,39079,1805,184,206,1775,2026,3970,NA,2291,2195
2016,QN76,Baisley Park,39079,1986,165,215,1089,1617,3455,-515,1775,2366
2017,QN76,Baisley Park,39079,2072,369,217,856,1072,3514,59,1089,2658
2018,QN76,Baisley Park,39079,1838,215,228,1031,888,3312,-202,856,2281
2019,QN76,Baisley Park,39079,1938,245,238,1210,1029,3631,319,1031,2421
2015,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,28698,3957,297,327,491,196,5072,NA,182,4581
2016,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,28698,4377,249,343,169,445,5138,66,491,4969
2017,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,28698,4580,251,343,175,188,5349,211,169,5174
2018,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,28698,4061,374,344,147,193,4926,-423,175,4779
2019,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,28698,4283,387,622,166,216,5458,532,147,5292
2015,SI05,New Springville-Bloomfield-Travis,40907,6086,612,333,230,275,7261,NA,267,7031
2016,SI05,New Springville-Bloomfield-Travis,40907,6731,512,349,208,248,7800,539,230,7592
2017,SI05,New Springville-Bloomfield-Travis,40907,7043,517,349,272,231,8181,381,208,7909
2018,SI05,New Springville-Bloomfield-Travis,40907,6246,770,349,211,282,7576,-605,272,7365
2019,SI05,New Springville-Bloomfield-Travis,40907,6586,797,632,219,278,8234,658,211,8015
2015,SI07,Westerleigh,24131,2113,510,64,164,142,2851,NA,219,2687
2016,SI07,Westerleigh,24131,2337,427,67,165,99,2996,145,164,2831
2017,SI07,Westerleigh,24131,2446,431,67,192,100,3136,140,165,2944
2018,SI07,Westerleigh,24131,2169,642,67,107,121,2985,-151,192,2878
2019,SI07,Westerleigh,24131,2287,665,121,161,62,3234,249,107,3073
2015,SI08,Grymes Hill-Clifton-Fox Hills,21636,1407,452,160,396,551,2415,NA,517,2019
2016,SI08,Grymes Hill-Clifton-Fox Hills,21636,1556,378,167,316,456,2417,2,396,2101
2017,SI08,Grymes Hill-Clifton-Fox Hills,21636,1628,382,167,375,392,2552,135,316,2177
2018,SI08,Grymes Hill-Clifton-Fox Hills,21636,1444,569,167,467,439,2647,95,375,2180
2019,SI08,Grymes Hill-Clifton-Fox Hills,21636,1522,589,303,1108,534,3522,875,467,2414
2015,SI11,Charleston-Richmond Valley-Tottenville,24794,4730,355,348,647,654,6080,NA,900,5433
2016,SI11,Charleston-Richmond Valley-Tottenville,24794,5231,297,365,882,456,6775,695,647,5893
2017,SI11,Charleston-Richmond Valley-Tottenville,24794,5474,300,365,843,643,6982,207,882,6139
2018,SI11,Charleston-Richmond Valley-Tottenville,24794,4854,447,365,537,612,6203,-779,843,5666
2019,SI11,Charleston-Richmond Valley-Tottenville,24794,5119,463,661,883,415,7126,923,537,6243
2015,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956,2409,238,423,2378,5250,5448,NA,6306,3070
2016,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956,2665,199,443,5908,2129,9215,3767,2378,3307
2017,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956,2788,201,443,3017,4937,6449,-2766,5908,3432
2018,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956,2472,300,444,3475,2638,6691,242,3017,3216
2019,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956,2607,311,803,3160,3059,6881,190,3475,3721
2015,SI14,Grasmere-Arrochar-Ft. Wadsworth,15896,2075,262,205,346,353,2888,NA,268,2542
2016,SI14,Grasmere-Arrochar-Ft. Wadsworth,15896,2295,219,215,359,416,3088,200,346,2729
2017,SI14,Grasmere-Arrochar-Ft. Wadsworth,15896,2402,221,215,422,427,3260,172,359,2838
